Symbol,Sector,Industry,Company_Name
WAAREEENER.NS,Technology,Solar,WAAREE ENERGIES LIMITED
WAAREERTL.NS,Utilities,Utilities - Renewable,Waaree Renewable Technologies Limited
WALCHANNAG.NS,Industrials,Engineering & Construction,Walchandnagar Industries Limited
WANBURY.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Wanbury Limited
WEWIN.NS,Technology,Information Technology Services,We Win Limited
WEALTH.NS,Financial Services,Capital Markets,Wealth First Portfolio Managers Limited
WEBELSOLAR.NS,Technology,Solar,Websol Energy System Limited
WEIZMANIND.NS,Consumer Cyclical,Textile Manufacturing,Weizmann Limited
WELCORP.NS,Basic Materials,Steel,Welspun Corp Limited
WELENT.NS,Industrials,Engineering & Construction,Welspun Enterprises Limited
WELSPUNLIV.NS,Consumer Cyclical,Textile Manufacturing,Welspun Living Limited
WENDT.NS,Industrials,Tools & Accessories,Wendt (India) Limited
WSTCSTPAPR.NS,Basic Materials,Paper & Paper Products,West Coast Paper Mills Limited
WCIL.NS,Industrials,Integrated Freight & Logistics,WESTERN CARRIERS (IND) L
WESTLIFE.NS,Consumer Cyclical,Restaurants,Westlife Foodworld Limited
WHEELS.NS,Consumer Cyclical,Auto Parts,Wheels India Limited
WHIRLPOOL.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Whirlpool of India Limited
WILLAMAGOR.NS,Financial Services,Credit Services,Williamson Magor & Co. Limited
WINDLAS.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Windlas Biotech Limited
WINDMACHIN.NS,Industrials,Specialty Industrial Machinery,Windsor Machines Limited
WIPRO.NS,Technology,Information Technology Services,Wipro Limited
WOCKPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Wockhardt Limited
WEL.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Wonder Electricals Limited
WONDERLA.NS,Consumer Cyclical,Leisure,Wonderla Holidays Limited
WORTH.NS,Consumer Cyclical,Packaging & Containers,Worth Peripherals Limited
XCHANGING.NS,Technology,Information Technology Services,Xchanging Solutions Limited
XELPMOC.NS,Technology,Information Technology Services,Xelpmoc Design and Tech Limited
XPROINDIA.NS,Basic Materials,Specialty Chemicals,Xpro India Limited
XTGLOBAL.NS,Technology,Software - Application,XTGlobal Infotech Limited
YAARI.NS,Financial Services,Credit Services,Yaari Digital Integrated Services Limited
YASHO.NS,Basic Materials,Specialty Chemicals,Yasho Industries Limited
YATHARTH.NS,Healthcare,Medical Care Facilities,Yatharth Hospital & Trauma Care Services Limited
YATRA.NS,Consumer Cyclical,Travel Services,Yatra Online Limited
YESBANK.NS,Financial Services,Banks - Regional,Yes Bank Limited
YUKEN.NS,Industrials,Specialty Industrial Machinery,Yuken India Limited
ZAGGLE.NS,Technology,Software - Infrastructure,Zaggle Prepaid Ocean Services Limited
ZEEL.NS,Communication Services,Broadcasting,Zee Entertainment Enterprises Limited
ZEEMEDIA.NS,Communication Services,Broadcasting,Zee Media Corporation Limited
ZENTEC.NS,Industrials,Aerospace & Defense,Zen Technologies Limited
ZENITHEXPO.NS,Consumer Cyclical,Textile Manufacturing,Zenith Exports Limited
ZENITHSTL.NS,Basic Materials,Steel,Zenith Steel Pipes & Industries Limited
ZENSARTECH.NS,Technology,Information Technology Services,Zensar Technologies Limited
GOLDCASE.NS,Unknown,Unknown,Zerodha Gold ETF
LIQUIDCASE.NS,Unknown,Unknown,Zerodha Nifty 1D Rate Liquid ETF
MID150CASE.NS,Unknown,Unknown,Zerodha Nifty Midcap 150 ETF
SILVERCASE.NS,Unknown,Unknown,Zerodha Am Pvt. Ltd. - Zerodha Mutual Fund - Zerodha Silver ETF
TOP100CASE.NS,Unknown,Unknown,Zerodha Nifty 100 ETF
ZFCVINDIA.NS,Consumer Cyclical,Auto Parts,ZF Commercial Vehicle Control Systems India Limited
ZIMLAB.NS,Healthcare,Drug Manufacturers - Specialty & Generic,ZIM Laboratories Limited
BLACKBUCK.NS,Technology,Software - Application,ZINKA LOGISTICS SOL LTD
ZODIACLOTH.NS,Consumer Cyclical,Apparel Manufacturing,Zodiac Clothing Company Limited
ZODIAC.NS,Unknown,Unknown,Zodiac Energy Limited
ZOTA.NS,Healthcare,Biotechnology,Zota Health Care Limited
ZUARI.NS,Basic Materials,Agricultural Inputs,Zuari Agro Chemicals Limited
ZUARIIND.NS,Industrials,Conglomerates,Zuari Industries Limited
ZYDUSLIFE.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Zydus Lifesciences Limited
ZYDUSWELL.NS,Consumer Defensive,Packaged Foods,Zydus Wellness Limited
